p,count,p_hat,predicted,epsilon_p,se,z_score
773,20254,0.0012931222991451436,0.0012953367875647669,-0.0017095850599491147,9.080363168767011e-06,-0.24387663559980366
787,19748,0.001260816587514481,0.001272264631043257,-0.008998162213617933,8.96636468953688e-06,-1.2767764780006319
797,19710,0.0012583904668781861,0.001256281407035176,0.001678811635036137,8.95774467210652e-06,0.23544540732196073
809,19551,0.0012482390673736893,0.0012376237623762376,0.00857716643794082,8.921585916302646e-06,1.1898450675741399
811,19256,0.001229404709802453,0.0012345679012345679,-0.0041821850600129995,8.854105813695075e-06,-0.5831409225004587
821,19104,0.0012197002272572738,0.0012195121951219512,0.0001541863509644248,8.81913384553018e-06,0.021320929993350737
823,19050,0.001216252582142539,0.0012165450121654502,-0.0002403774788329871,8.806675996645198e-06,-0.033205493539515
827,18809,0.0012008658696860376,0.0012106537530266344,-0.008084791639332956,8.750859823381384e-06,-1.1185053284072362
829,18866,0.00120450505064048,0.0012077294685990338,-0.0026698180696826945,8.764093410065572e-06,-0.3679123222090043
839,18703,0.0011940982700163732,0.0011933174224343676,0.0006543502737206275,8.726196374578685e-06,0.08948315491505174
853,18342,0.0011710501239715722,0.0011737089201877935,-0.0022652943762204725,8.641670451040047e-06,-0.3076715585585907
857,18444,0.0011775623425216268,0.0011682242990654205,0.007993365198512459,8.665637086072564e-06,1.0775945684610355
859,18389,0.0011740508521269895,0.0011655011655011655,0.007335631124957054,8.652722186310265e-06,0.9880921219625752
863,18203,0.0011621756300651254,0.001160092807424594,0.0017953931161380776,8.608902115247844e-06,0.2419382416768841
877,17980,0.0011479381326468688,0.001141552511415525,0.00559380419865696,8.556067935017643e-06,0.7463266163665133
881,17787,0.0011356159936256873,0.0011363636363636363,-0.0006579256093951491,8.510075474967669e-06,-0.08785383163147592
883,17708,0.0011305722165133902,0.0011337868480725624,-0.0028353050351899167,8.491177361777262e-06,-0.3785849031540408
887,17878,0.0011414259140968142,0.001128668171557562,0.011303359889777376,8.531792071512434e-06,1.4953180331070466
907,17370,0.0011089925119063466,0.0011037527593818985,0.004747215787149983,8.409840444153332e-06,0.6230501707188615
911,17237,0.0011005010896793148,0.001098901098901099,0.0014559916081764435,8.37761761576645e-06,0.19098398275003098
919,17055,0.0010888812487370606,0.0010893246187363835,-0.00040701365937845235,8.333320416260739e-06,-0.053204482388298335
929,16948,0.0010820498037874935,0.0010775862068965517,0.004142217914793855,8.307166815989406e-06,0.5373187983116381
937,16750,0.0010694084383667994,0.0010683760683760685,0.0009662983113243317,8.258551048381963e-06,0.12500618869858882
941,16610,0.00106047009918045,0.0010638297872340426,-0.0031581067703768673,8.22400207386489e-06,-0.4085222770394553
947,16558,0.0010571501446255203,0.0010570824524312897,6.403681574229658e-05,8.211132415273587e-06,0.008243953550755146
953,16417,0.0010481479601592684,0.0010504201680672268,-0.002163141928376411,8.176133472975923e-06,-0.2779073892896456
967,16124,0.0010294412931478372,0.0010351966873706005,-0.0055597108191892675,8.102919690375251e-06,-0.7102864699004199
971,16079,0.001026568255552225,0.0010309278350515464,-0.004228792114341684,8.091616325111624e-06,-0.5387773374513308
977,15969,0.0010195452747629504,0.0010245901639344263,-0.00492381183136037,8.06391889985865e-06,-0.625612587890027
983,15876,0.0010136076637320183,0.0010183299389002036,-0.004637274215158027,8.04042724797928e-06,-0.587316447564662
991,15877,0.0010136715090119208,0.00101010101010101,0.00353479392180156,8.040680212903511e-06,0.4440543357489607
997,15700,0.001002370894469179,0.001004016064257028,-0.00163858910869763,7.995780258603391e-06,-0.20575475246192862
